Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 31/12/2024,Estágio 2,Transferência para estágio,Transferência do estágio,Estágio 3,Transferência para estágio 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado
Cartão de crédito,408.412,(540.829),(14),18.833,625.0,540.283,427.31,,,,,,,,
Imobiliário,49.93,(147.150),(129),26.583,5.0,132.255,61.494,,,,,,,,
Pessoal,106.635,(153.309),(278),5.769,,122.349,81.172,,,,,,,,
Empresas,12.859,(20.803),,188.0,,18.396,10.64,,,,,,,,
Rural,11.122,,,,,(4.129),6.993,,,,,,,,
Total,588.958,(862.091),(421),51.373,636.0,809.154,587.609,,,,,,,,
,,,,,,,,,,,,,,,
,225.771,,(1.461.697),,,886.177,172.247,Cartão de crédito,(18.833),540.829,,,,,
,39.71,,(141.662),,,(3.886),49.709,Imobiliário,(26.583),147.15,,,,,
,89.687,,(313.309),,10.325,122.266,56.509,Pessoal,(5.769),153.309,,,,,
,789.0,,(20.153),,295.0,3.124,4.67,Empresas,(188),20.803,,,,,
,947.0,,(1.661),,,714,,Rural,,,,,,,
,356.904,,(1.938.482),,45.6,1.008.395,283.135,Total,(51.373),862.091,,,,,
,,,,,,,,,,,,,,,
,708.986,,,1.461.697,,118.091,970.797,,,,Cartão de crédito,(625),14.0,(1.317.366),
,44.092,(34.980),,141.662,,(61.767),66.626,,,,Imobiliário,(5),129.0,(22.505),
,208.043,(10.325),,313.309,,174.267,441.441,,,,Pessoal,(6),278.0,(244.125),
,6.231,(295),,20.153,,7.891,17.276,,,,Empresas,,,(16.704),
,1.628,,,1.661,,3.564,,,,,Rural,,,(6.854),
,968.98,(45.600),,1.938.482,,242.046,1.496.139,,,,Total,(636),421.0,(1.607.554),
,,,,,,,,,,,,,,,
,1.343.169,,,,,1.544.551,1.570.354,,,,,,,(1.317.366),Cartão de crédito
,133.732,,,,,66.602,177.829,,,,,,,(22.505),Imobiliário
,404.365,,,,,418.882,579.122,,,,,,,(244.125),Pessoal
,19.879,,,,,29.411,32.586,,,,,,,(16.704),Empresas
,13.697,,,,,149,6.992,,,,,,,(6.854),Rural
,1.914.842,,,,,2.059.595,2.366.883,,,,,,,(1.607.554),Total
